"Time","Type","Username","Domain","Workstation"
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:56:57","","","","oracle"
"PM","","","",""
"November","","","",""
"21 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:56:57","","","","oracle"
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-172-31-20-197"
"11:56:57","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:56:57","","","",""
"PM","","","",""
