Time,Type,Username,Domain,Workstation
November 21 2023 11:59:31 PM,SSH Logout,root,,
November 21 2023 11:59:31 PM,SSH Logout,root,,
November 21 2023 11:59:31 PM,SSH Logout,root,,
November 21 2023 11:59:31 PM,SSH Login Success,root,,management- serverdb
November 21 2023 11:59:31 PM,SSH Login Success,root,,emerge-bangalore- vla
November 21 2023 11:59:31 PM,SSH Login Success,root,,emerge-bangalore- vla
November 21 2023 11:59:31 PM,SSH Login Success,root,,management- serverdb
November 21 2023 11:59:30 PM,SSH Login Success,root,,emerge-bangalore- vla
November 21 2023 11:59:30 PM,SSH Logout,root,,
November 21 2023 11:59:30 PM,SSH Login Success,root,,emerge-bangalore- vla
November 21 2023 11:59:30 PM,SSH Login Success,root,,management- serverdb
November 21 2023 11:59:30 PM,SSH Login Success,root,,management- serverdb
November 21 2023 11:57:59 PM,SSH Login Success,root,,ip-10-100-1-191
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,ubuntu,,10.100.7.127
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:57:59 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:57:59 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Logout,root,,
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:57:59 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:57:59 PM,SSH Login Success,root,,ip-10-100-1-191
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Login Success,ubuntu,,10.100.7.127
November 21 2023 11:57:59 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:57:59 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:57:59 PM,SSH Login Success,root,,emerge- managementserver
November 21 2023 11:56:57 PM,SSH Logout,root,,
November 21 2023 11:56:57 PM,SSH Login Success,root,,ip-172-31-20-197
November 21 2023 11:56:57 PM,SSH Logout,root,,
November 21 2023 11:56:57 PM,SSH Login Success,root,,emergeapp24- oracle
November 21 2023 11:56:57 PM,SSH Login Success,root,,emergeapp24- oracle
November 21 2023 11:56:57 PM,SSH Logout,root,,
November 21 2023 11:56:57 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Logout,ubuntu,,
November 21 2023 11:56:57 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:57 PM,SSH Login Success,root,,emergeapp24- oracle
November 21 2023 11:56:57 PM,SSH Login Success,root,,emergeapp24- oracle
November 21 2023 11:56:57 PM,SSH Login Success,root,,ip-172-31-20-197
November 21 2023 11:56:57 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:54 PM,SSH Logout,ubuntu,,
November 21 2023 11:56:47 PM,SSH Logout,root,,
November 21 2023 11:56:47 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:47 PM,SSH Logout,root,,
November 21 2023 11:56:47 PM,SSH Logout,root,,
November 21 2023 11:56:47 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:47 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:47 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:56:47 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:56:47 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:56:43 PM,SSH Login Success,root,,ip-10-101-3-237
November 21 2023 11:56:43 PM,SSH Logout,root,,
November 21 2023 11:56:43 PM,SSH Logout,ubuntu,,
November 21 2023 11:56:43 PM,SSH Logout,ubuntu,,
November 21 2023 11:56:43 PM,SSH Logout,ubuntu,,
November 21 2023 11:56:43 PM,SSH Login Success,root,,ip-10-101-3-237
November 21 2023 11:56:43 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:56:43 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:56:43 PM,SSH Logout,root,,
November 21 2023 11:56:43 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:56:43 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:55:57 PM,SSH Login Success,root,,ip-10-100-1-191
November 21 2023 11:55:57 PM,SSH Login Success,root,,ip-10-100-1-191
November 21 2023 11:55:57 PM,SSH Logout,root,,
November 21 2023 11:55:29 PM,SSH Logout,root,,
November 21 2023 11:55:29 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:55:29 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:55:29 PM,SSH Logout,root,,
November 21 2023 11:55:29 PM,SSH Logout,root,,
November 21 2023 11:55:29 PM,SSH Login Success,root,,msapp2-vla
November 21 2023 11:55:29 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:55:29 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 21 2023 11:55:29 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:55:27 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:55:27 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:55:27 PM,SSH Login Success,root,,ip-10-101-3-237
November 21 2023 11:55:27 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:55:27 PM,SSH Logout,root,,
November 21 2023 11:55:27 PM,SSH Login Success,root,,ip-10-100-3-136
November 21 2023 11:55:27 PM,SSH Logout,root,,
November 21 2023 11:55:27 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:55:27 PM,SSH Logout,ubuntu,,
November 21 2023 11:55:27 PM,SSH Logout,ubuntu,,
November 21 2023 11:55:27 PM,SSH Login Success,root,,ip-10-101-3-237
November 21 2023 11:55:27 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 21 2023 11:55:27 PM,SSH Logout,ubuntu,,
November 21 2023 11:54:43 PM,SSH Login Success,root,,ip-10-100-1-191
November 21 2023 11:54:43 PM,SSH Login Success,root,,ip-10-100-1-191
November 21 2023 11:54:43 PM,SSH Logout,root,,
November 21 2023 11:53:56 PM,SSH Logout,ubuntu,,
November 21 2023 11:53:56 PM,SSH Login Success,root,,ip-10-100-3-136
