Time,Type,Username,Domain,Workstation
November 13 2023 11:59:40 PM,SSH Logout,root,,
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Logout,root,,
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:40 PM,SSH Logout,root,,
November 13 2023 11:59:40 PM,SSH Logout,root,,
November 13 2023 11:59:40 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:03 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:03 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:03 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:03 PM,SSH Logout,root,,
November 13 2023 11:59:03 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:03 PM,SSH Logout,root,,
November 13 2023 11:59:03 PM,SSH Logout,root,,
November 13 2023 11:59:01 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:01 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:01 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:59:01 PM,SSH Login Success,root,,msapp2-vla
November 13 2023 11:58:03 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:03 PM,SSH Logout,root,,
November 13 2023 11:58:03 PM,SSH Logout,root,,
November 13 2023 11:58:03 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:03 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:03 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:03 PM,SSH Logout,root,,
November 13 2023 11:58:03 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:03 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:02 PM,SSH Login Success,root,,ms-app1-db
November 13 2023 11:58:02 PM,SSH Logout,root,,
November 13 2023 11:58:02 PM,SSH Login Success,root,,localhost
November 13 2023 11:58:02 PM,SSH Login Success,root,,localhost
November 13 2023 11:58:02 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:02 PM,SSH Login Success,root,,localhost
November 13 2023 11:58:02 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:58:02 PM,SSH Login Success,root,,ms-app1-db
November 13 2023 11:58:02 PM,SSH Logout,root,,
November 13 2023 11:58:02 PM,SSH Logout,root,,
November 13 2023 11:58:02 PM,SSH Login Success,root,,localhost
November 13 2023 11:57:41 PM,SSH Login Success,root,,management-vla
November 13 2023 11:57:41 PM,SSH Login Success,root,,management-vla
November 13 2023 11:57:41 PM,SSH Logout,root,,
November 13 2023 11:57:41 PM,SSH Logout,root,,
November 13 2023 11:57:41 PM,SSH Login Success,root,,management-vla
November 13 2023 11:57:41 PM,SSH Login Success,root,,management-vla
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Logout,root,,
November 13 2023 11:57:37 PM,SSH Logout,root,,
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Logout,root,,
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:37 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:02 PM,SSH Login Success,root,,emerge-bangalore- vla
November 13 2023 11:57:02 PM,SSH Login Success,root,,emerge-bangalore- vla
November 13 2023 11:57:02 PM,SSH Login Success,root,,emerge-bangalore- vla
November 13 2023 11:57:02 PM,SSH Logout,root,,
November 13 2023 11:57:02 PM,SSH Login Success,root,,emerge-bangalore- vla
November 13 2023 11:57:02 PM,SSH Logout,root,,
November 13 2023 11:57:01 PM,SSH Logout,root,,
November 13 2023 11:57:01 PM,SSH Logout,root,,
November 13 2023 11:57:01 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:57:01 PM,SSH Login Success,root,,management- serverdb
November 13 2023 11:56:51 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:51 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:51 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:51 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:51 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:51 PM,SSH Logout,root,,
November 13 2023 11:56:51 PM,SSH Logout,root,,
November 13 2023 11:56:51 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:42 PM,SSH Logout,root,,
November 13 2023 11:56:42 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:42 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:42 PM,SSH Logout,root,,
November 13 2023 11:56:03 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:03 PM,SSH Logout,root,,
November 13 2023 11:56:03 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:02 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:02 PM,SSH Login Success,root,,emerge- managementserver
November 13 2023 11:56:02 PM,SSH Logout,root,,
November 13 2023 11:55:37 PM,SSH Logout,root,,
November 13 2023 11:55:37 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:55:37 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:55:37 PM,SSH Logout,root,,
November 13 2023 11:55:37 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:55:37 PM,SSH Login Success,root,,emergeapp24- oracle
November 13 2023 11:52:42 PM,SSH Logout,ubuntu,,
November 13 2023 11:52:42 PM,SSH Login Success,root,,ip-10-100-3-136
November 13 2023 11:52:42 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 13 2023 11:52:42 PM,SSH Logout,root,,
November 13 2023 11:52:42 PM,SSH Login Success,root,,ip-10-100-3-136
November 13 2023 11:52:42 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 13 2023 11:52:41 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 13 2023 11:52:41 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 13 2023 11:52:41 PM,SSH Login Success,root,,ip-10-100-3-136
November 13 2023 11:52:41 PM,SSH Login Success,root,,localhost
November 13 2023 11:52:41 PM,SSH Login Success,root,,localhost
November 13 2023 11:52:41 PM,SSH Logout,root,,
November 13 2023 11:52:41 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 13 2023 11:52:41 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 13 2023 11:52:41 PM,SSH Logout,root,,
November 13 2023 11:52:41 PM,SSH Login Success,root,,ip-10-100-3-136
November 13 2023 11:52:41 PM,SSH Logout,ubuntu,,
November 13 2023 11:52:41 PM,SSH Login Success,root,,localhost
November 13 2023 11:52:41 PM,SSH Login Success,root,,localhost
November 13 2023 11:52:36 PM,SSH Login Success,root,,ip-10-101-3-237
November 13 2023 11:52:36 PM,SSH Login Success,root,,ip-10-100-1-191
November 13 2023 11:52:36 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 13 2023 11:52:36 PM,SSH Login Success,root,,localhost
November 13 2023 11:52:36 PM,SSH Logout,ubuntu,,
November 13 2023 11:52:36 PM,SSH Login Success,root,,ip-10-100-1-191
November 13 2023 11:52:36 PM,SSH Logout,root,,
November 13 2023 11:52:36 PM,SSH Login Success,root,,ip-10-101-3-237
November 13 2023 11:52:36 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 13 2023 11:52:36 PM,SSH Login Success,root,,localhost
November 13 2023 11:52:36 PM,SSH Logout,root,,
November 13 2023 11:52:36 PM,SSH Logout,root,,
November 13 2023 11:52:36 PM,SSH Logout,root,,
